size(KB),query_percent,avg_rel_err,avgtime
1250.14,0.05,1,0.0196
1250.14,0.1,1,0.0202
1250.14,0.15,1,0.0201
1378.42,0.05,1,0.0196
1378.42,0.1,1,0.0199
1378.42,0.15,1,0.0197
1653.73,0.05,1,0.02
1653.73,0.1,1,0.0201
1653.73,0.15,1,0.02
1876.62,0.05,1,0.02
1876.62,0.1,1,0.0202
1876.62,0.15,1,0.0201
2033.03,0.05,1,0.0201
2033.03,0.1,1,0.0202
2033.03,0.15,1,0.0201
2113.57,0.05,1,0.0202
2113.57,0.1,1,0.0204
2113.57,0.15,1,0.0202
