query_percent,ith_insert,avg_rel_err,avgtime
0.1,0,0.9025,0.0196
0.1,1,0.9044,0.0196
0.1,2,0.9024,0.0197
0.1,3,0.904,0.0201
0.1,4,0.8614,0.02
