query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.05,2785.16,2785.16,0,1.1313,0.012511
0.1,2785.16,2785.16,0,0.9139,0.010004
0.15,2785.16,2785.16,0,0.8206,0.010402
0.1,2785.16,5244.14,0,1.5602,0.01234
0.1,2785.16,5306.64,1,1.6249,0.01154
0.1,2785.16,5353.52,2,1.5401,0.011845
0.1,2785.16,5417.97,3,1.5386,0.01139
0.1,2785.16,5472.66,4,1.6353,0.011337
