query_percent,nth_insert,avg_rel_error_w_buffer,avg_rel_error_wo_buffer,avg_time_w_buffer,avg_time_wo_buffer
0.1,0,0.0102,0.0102,0.000295,0.000283
0.1,1,0.0226,0.0267,0.000292,0.00028
0.1,2,0.0296,0.0296,0.000321,0.000309
0.1,3,0.0316,0.0373,0.000323,0.000311
0.1,4,0.0475,0.0316,0.00032,0.000308
