query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.1,3219.56,3219.56,0,0.1109,0.014674
0.1,2800.78,2800.78,0,0.1554,0.012954
0.1,2428.77,2428.77,0,0.1747,0.012686
0.1,2118.81,2118.81,0,0.1217,0.01241
0.1,1734.38,1734.38,0,0.119,0.011536
0.1,1394.53,1394.53,0,0.2486,0.011261
0.1,1057.82,1057.82,0,0.2551,0.010903
0.1,632.81,632.81,0,0.3257,0.12083

