query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.05,2126.64,2126.64,0,0.2633,0.011333
0.1,2126.64,2126.64,0,0.1591,0.009015
0.15,2126.64,2126.64,0,0.1081,0.00882
0.1,2126.64,4112.38,0,0.8332,0.009199
0.1,2126.64,4164.56,1,0.7969,0.008944
0.1,2126.64,4190.66,2,0.7622,0.008963
0.1,2126.64,4224.58,3,0.728,0.008687
0.1,2126.64,4261.11,4,0.7046,0.008622
