query_percent,nth_insert,avg_rel_error_w_buffer,avg_rel_error_wo_buffer,avg_time_w_buffer,avg_time_wo_buffer
0.1,0,0.007,0.007,0.000375,0.000357
0.1,1,0.0218,0.0274,0.000348,0.000336
0.1,2,0.019,0.019,0.000356,0.000344
0.1,3,0.025,0.0271,0.000363,0.00035
0.1,4,0.0579,0.0298,0.000351,0.000339
