query_percent,nth_insert,avg_rel_error_w_buffer,avg_rel_error_wo_buffer,avg_time_w_buffer,avg_time_wo_buffer
0.1,0,0.007,0.007,0.000342,0.000333
0.1,1,0.0069,0.0274,0.000339,0.000329
0.1,2,0.0048,0.0048,0.000342,0.000333
0.1,3,0.0176,0.0235,0.000344,0.000335
0.1,4,0.0047,0.0047,0.000351,0.000342
