query_percent,original_size(KB),size(KB),nth_insert,avg_rel_error,avg_query_time
0.1,2202.31,2152.31,0,0.457,0.012362
0.1,1882.56,1882.56,0,0.565,0.011609
0.1,1703.12,1703.12,0,0.4837,0.011579
0.1,1449.73,1449.73,0,0.5457,0.011262
0.1,1332.03,1332.03,0,1.6779,0.010844
0.1,1318.28,1318.28,0,0.5362,0.01105
0.1,1135.98,1135.98,0,0.8678,0.0108
