error_bound,size(KB),avg_rel_error,avg_query_time
8e-4,849.86,0.01,0.000283
7e-4,965.92,0.0093,0.00028
6e-4,1112.46,0.0084,0.00029
5e-4,1260.94,0.0076,0.000279
4e-4,1456.8,0.0062,0.00029
3e-4,1771.61,0.0047,0.000293
2e-4,2228.83,0.0029,0.000297
1e-4,2680.0,0.0018,0.000306
